Undergraduate Major,Early Career Pay,Mid-Career Pay
Bible Studies & Theology,40000.0,58500.0
Forensic Accounting,48300.0,58500.0
Communication Sciences & Disorders,43300.0,58500.0
Legal Assistant Studies,38100.0,58500.0
Special Education,41300.0,58500.0
Conservation Biology,42800.0,58500.0
Family Studies,39200.0,58500.0
Christian Ministry,38100.0,58500.0
Speech & Hearing,43300.0,58500.0
Health and Human Services,43500.0,58500.0
Musical Theatre,43500.0,58500.0
History Teacher Education,47700.0,58500.0
Developmental Psychology,38200.0,58500.0
Therapeutic Recreation,39500.0,58500.0
Applied Behavioral Science,40500.0,58500.0
Community & Human Services,42400.0,58500.0
Social Work (SW),38600.0,58500.0
Office Administration,38700.0,58500.0
Ministry,36700.0,54300.0
Family & Community Services,42200.0,54300.0
Youth Ministry,37400.0,54300.0
Elementary Education,40000.0,54300.0
Voice & Opera,34500.0,54300.0
Christian Education,38700.0,54300.0
Conflict Resolution,44400.0,54300.0
Baking & Pastry Arts,37500.0,54300.0
Human Services Management,45600.0,54300.0
Hospitality & The Culinary Arts,38800.0,54300.0
Human Services (HS),38700.0,54300.0
Counseling,39900.0,54300.0
Recreational Therapy,38400.0,54300.0
Child Development,37400.0,54300.0
Educational Psychology,36900.0,54300.0
Middle School Education,41200.0,54300.0
Mental Health Counseling,36100.0,54300.0
Early Childhood & Elementary Education,38000.0,54300.0
Equine Studies,35700.0,54300.0
Addiction Studies,38000.0,54300.0
Child & Family Studies,36400.0,54300.0
Rehabilitation Counseling,39200.0,54300.0
Outdoor Education,37400.0,54300.0
Early Childhood Education,36100.0,54300.0
Mental Health,36900.0,54300.0
Medical Assisting,36000.0,44800.0
Metalsmithing,40000.0,44800.0
